iter	RMSE
0	225.8309873
1	209.3556392
2	193.3412305
3	181.2377418
4	166.0997011
5	153.1214185
6	143.7825749
7	132.4041307
8	122.4434716
9	115.0892449
10	108.2123784
11	100.5738419
12	92.61262937
13	86.65109858
14	80.72865187
15	74.90148157
16	69.2627341
17	64.17856604
18	59.99997886
19	56.16272
20	52.95098861
21	49.21720101
22	45.56948871
23	42.90511896
24	40.04808863
25	37.99187025
26	35.84108378
27	33.81708055
28	31.6794802
29	29.84028091
30	28.44139676
31	26.9619309
32	25.33188622
33	24.13569764
34	22.95249226
35	21.85285276
36	20.8020771
37	19.85072324
38	19.05690097
39	18.34497121
40	17.66232286
41	16.99781194
42	16.40394096
43	15.83468925
44	15.26249156
45	14.72056468
46	14.30520834
47	13.85063138
48	13.48149123
49	13.09992241
50	12.81054585
51	12.51951283
52	12.32272722
53	12.11452011
54	11.89035325
55	11.71785771
56	11.44395353
57	11.18863019
58	11.02629606
59	10.87768231
60	10.74127088
61	10.63059628
62	10.45587568
63	10.38105924
64	10.2704458
65	10.14165835
66	10.02749646
67	9.926073407
68	9.864173896
69	9.786198246
70	9.703251971
71	9.617684271
72	9.510533959
73	9.466746394
74	9.380769415
75	9.28130943
76	9.198893179
77	9.112222438
78	9.023631031
79	8.925497971
80	8.823532524
81	8.79043542
82	8.737168369
83	8.656201179
84	8.617657942
85	8.546827399
86	8.494069093
87	8.400427929
88	8.307375214
89	8.237285023
90	8.153154019
91	8.067265059
92	7.990591838
93	7.932446013
94	7.891379884
95	7.851836156
96	7.789439866
97	7.733490824
98	7.661247994
99	7.603748947
100	7.539073146
101	7.477968987
102	7.427747146
103	7.398622235
104	7.337075834
105	7.267617478
106	7.187551426
107	7.12367513
108	7.056797614
109	7.016393471
110	6.974479605
111	6.928494713
112	6.869255247
113	6.811198626
114	6.766713538
115	6.723073482
116	6.696658675
117	6.650723741
118	6.597565188
119	6.544030305
120	6.512312517
121	6.461379392
122	6.405103079
123	6.370476717
124	6.322161608
125	6.287984508
126	6.23711595
127	6.179102326
128	6.140859475
129	6.101473673
130	6.058854019
131	6.0267762
132	6.010039374
133	5.978875277
134	5.942334953
135	5.890820909
136	5.856868584
137	5.819764681
138	5.788582843
139	5.738647833
140	5.701445826
141	5.685000092
142	5.646685608
143	5.618485506
144	5.581736558
145	5.537708187
146	5.500359945
147	5.481585648
148	5.436956441
149	5.396548738
150	5.355948646
151	5.309935682
152	5.288053109
153	5.255066009
154	5.219558864
155	5.191785936
156	5.170449864
157	5.143692093
158	5.104454941
159	5.075544129
160	5.030829782
161	5.005977064
162	4.978610259
163	4.938819347
164	4.910678195
165	4.879977314
166	4.863579351
167	4.828273273
168	4.795693567
169	4.77642143
170	4.751198316
171	4.723208481
172	4.705236895
173	4.680795095
174	4.656097274
175	4.635795576
176	4.616533767
177	4.588875931
