iter	Passed	Remaining
0	214	214108
1	220	109840
2	228	75772
3	234	58352
4	243	48364
5	246	40797
6	249	35373
7	253	31378
8	256	28270
9	259	25726
10	262	23642
11	266	21908
12	271	20586
13	274	19323
14	277	18203
15	280	17243
16	283	16388
17	286	15619
18	289	14944
19	292	14322
20	294	13725
21	296	13179
22	298	12680
23	300	12215
24	302	11786
25	303	11387
26	306	11031
27	308	10703
28	311	10419
29	314	10162
30	317	9931
31	320	9696
32	322	9458
33	325	9259
34	328	9067
35	332	8896
36	334	8702
37	336	8523
38	339	8372
39	343	8234
40	345	8091
41	349	7970
42	351	7831
43	355	7721
44	359	7626
45	361	7493
46	364	7390
47	368	7310
48	371	7214
49	374	7121
50	379	7053
51	383	6987
52	386	6903
53	388	6814
54	392	6738
55	396	6676
56	399	6605
57	402	6543
58	405	6473
59	408	6406
60	411	6336
61	413	6259
62	415	6186
63	418	6123
64	420	6053
65	424	6011
66	428	5962
67	429	5891
68	432	5839
69	434	5775
70	436	5716
71	440	5679
72	444	5642
73	447	5600
74	450	5558
75	453	5514
76	457	5487
77	460	5446
78	463	5407
79	467	5370
80	470	5341
81	473	5303
82	476	5267
83	479	5229
84	482	5197
85	486	5165
86	488	5127
87	491	5096
88	494	5065
89	498	5035
90	501	5014
91	504	4976
92	507	4949
93	510	4921
94	513	4894
95	516	4862
96	519	4833
97	521	4798
98	523	4763
99	525	4728
100	527	4693
101	529	4659
102	531	4625
103	533	4600
104	536	4569
105	537	4536
106	539	4502
107	541	4468
108	542	4434
109	543	4400
110	545	4366
111	546	4333
112	548	4307
113	550	4275
114	551	4244
115	552	4213
116	554	4183
117	555	4153
118	557	4124
119	558	4098
120	560	4069
121	563	4053
122	564	4025
123	567	4008
124	570	3992
125	573	3977
126	576	3963
127	580	3951
128	583	3936
129	586	3923
130	589	3909
131	592	3896
132	595	3881
133	598	3867
134	601	3855
135	604	3842
136	607	3829
137	610	3815
138	614	3803
139	617	3792
140	620	3780
141	623	3767
142	626	3755
143	629	3742
144	632	3732
145	636	3721
146	639	3708
147	643	3704
148	645	3689
149	649	3678
150	652	3666
151	654	3653
152	657	3638
153	660	3629
154	663	3619
155	667	3609
156	670	3598
157	672	3586
158	676	3579
159	680	3570
160	684	3565
161	686	3552
162	690	3545
163	693	3534
164	696	3524
165	700	3519
166	702	3505
167	706	3500
168	710	3493
169	712	3479
170	715	3468
171	718	3460
172	721	3450
173	723	3435
174	725	3422
175	729	3417
176	733	3408
177	737	3406
178	739	3393
179	741	3380
180	745	3373
181	749	3366
182	752	3360
183	754	3346
184	756	3331
185	757	3317
186	761	3312
187	763	3299
188	766	3288
189	769	3278
190	771	3267
191	774	3260
192	776	3246
193	779	3237
194	781	3224
195	783	3214
196	786	3205
197	789	3198
198	793	3194
199	795	3183
200	799	3178
201	802	3169
202	805	3162
203	808	3155
204	812	3150
205	815	3143
206	818	3136
207	822	3130
208	825	3124
209	829	3120
210	832	3113
211	835	3106
212	838	3099
213	842	3092
214	846	3088
215	848	3081
216	851	3074
217	854	3066
218	858	3060
219	861	3055
220	865	3049
221	868	3042
222	871	3035
223	874	3028
224	877	3022
225	879	3012
226	881	3002
227	883	2993
228	886	2983
229	888	2973
230	889	2962
231	892	2953
232	894	2943
233	896	2933
234	898	2923
235	900	2913
236	901	2902
237	903	2891
238	904	2880
239	906	2871
240	908	2859
241	909	2848
242	910	2837
243	912	2826
244	913	2815
245	914	2804
246	916	2793
247	917	2782
248	919	2772
249	921	2765
250	923	2756
251	925	2745
252	926	2735
253	927	2724
254	929	2714
255	931	2705
256	932	2697
257	936	2692
258	937	2682
259	940	2676
260	943	2671
261	946	2666
262	949	2661
263	953	2658
264	956	2653
265	959	2648
266	963	2644
267	966	2640
268	969	2635
269	973	2631
270	976	2626
271	979	2621
272	982	2617
273	985	2611
274	988	2605
275	991	2600
276	996	2600
277	999	2595
278	1001	2588
279	1004	2583
280	1007	2578
281	1010	2573
282	1013	2568
283	1016	2563
284	1019	2556
285	1023	2554
286	1035	2572
287	1040	2573
288	1043	2567
289	1049	2569
290	1051	2562
291	1053	2554
292	1057	2551
293	1061	2549
294	1064	2544
295	1067	2538
296	1070	2533
297	1072	2526
298	1074	2519
299	1080	2520
300	1083	2515
301	1087	2513
302	1089	2506
303	1095	2507
304	1097	2500
305	1101	2498
306	1104	2493
307	1108	2489
308	1110	2484
309	1114	2480
310	1116	2474
311	1118	2467
312	1120	2459
313	1126	2460
314	1131	2459
315	1133	2453
316	1135	2445
317	1136	2438
318	1141	2437
319	1143	2429
320	1145	2423
321	1147	2416
322	1149	2409
323	1151	2402
324	1153	2395
325	1157	2392
326	1159	2385
327	1160	2378
328	1162	2371
329	1164	2365
330	1166	2358
331	1169	2352
332	1173	2350
333	1174	2342
334	1176	2335
335	1178	2329
336	1180	2322
337	1182	2316
338	1184	2310
339	1188	2307
340	1190	2300
341	1192	2294
342	1194	2287
343	1196	2281
344	1198	2274
345	1200	2269
346	1204	2266
347	1205	2259
348	1207	2252
349	1209	2245
350	1210	2238
351	1212	2232
352	1214	2225
353	1216	2220
354	1219	2214
355	1220	2208
356	1222	2201
357	1223	2194
358	1225	2188
359	1227	2182
360	1229	2176
361	1232	2171
362	1234	2165
363	1235	2159
364	1237	2152
365	1238	2145
366	1240	2139
367	1242	2133
368	1243	2126
369	1245	2120
370	1247	2114
371	1248	2108
372	1250	2102
373	1252	2095
374	1253	2089
375	1254	2082
376	1256	2076
377	1257	2069
378	1259	2063
379	1261	2057
380	1264	2054
381	1265	2047
382	1267	2041
383	1268	2035
384	1270	2029
385	1272	2023
386	1273	2017
387	1278	2016
388	1280	2011
389	1282	2005
390	1284	2000
391	1286	1994
392	1289	1991
393	1291	1986
394	1294	1983
395	1297	1978
396	1298	1972
397	1300	1967
398	1302	1961
399	1303	1955
400	1310	1957
401	1313	1953
402	1315	1948
403	1317	1943
404	1317	1936
405	1319	1931
406	1322	1926
407	1326	1924
408	1328	1919
409	1330	1914
410	1331	1908
411	1334	1904
412	1336	1898
413	1338	1894
414	1341	1891
415	1343	1885
416	1344	1880
417	1346	1875
418	1348	1869
419	1350	1864
420	1351	1859
421	1353	1854
422	1355	1849
423	1357	1843
424	1359	1838
425	1360	1833
426	1362	1828
427	1364	1822
428	1365	1817
429	1367	1812
430	1369	1807
431	1370	1802
432	1372	1797
433	1373	1791
434	1375	1786
435	1377	1781
436	1378	1776
437	1380	1771
438	1382	1766
439	1383	1761
440	1385	1756
441	1387	1751
442	1389	1746
443	1390	1741
444	1392	1736
445	1393	1731
446	1395	1726
447	1396	1721
448	1398	1715
449	1399	1710
450	1401	1705
451	1402	1700
452	1404	1696
453	1406	1691
454	1408	1686
455	1411	1683
456	1412	1678
457	1414	1673
458	1415	1668
459	1417	1663
460	1418	1658
461	1420	1653
462	1421	1649
463	1424	1645
464	1425	1640
465	1427	1635
466	1428	1630
467	1430	1626
468	1432	1621
469	1434	1617
470	1435	1612
471	1437	1607
472	1438	1602
473	1440	1598
474	1441	1593
475	1443	1588
476	1444	1583
477	1446	1579
478	1448	1575
479	1450	1571
480	1452	1567
481	1454	1562
482	1456	1558
483	1457	1554
484	1459	1550
485	1461	1545
486	1464	1542
487	1466	1538
488	1468	1534
489	1470	1530
490	1472	1526
491	1473	1521
492	1475	1517
493	1478	1514
494	1480	1510
495	1482	1506
496	1484	1502
497	1486	1498
498	1488	1493
499	1489	1489
500	1494	1488
501	1496	1485
502	1498	1480
503	1501	1478
504	1504	1474
505	1506	1470
506	1508	1467
507	1511	1463
508	1513	1459
509	1515	1456
510	1519	1454
511	1521	1450
512	1526	1449
513	1530	1446
514	1532	1443
515	1535	1440
516	1538	1437
517	1543	1436
518	1546	1432
519	1549	1430
520	1551	1426
521	1553	1422
522	1557	1420
523	1559	1416
524	1561	1412
525	1563	1409
526	1565	1405
527	1568	1401
528	1569	1397
529	1572	1394
530	1573	1389
531	1575	1386
532	1577	1382
533	1579	1378
534	1581	1374
535	1583	1370
536	1584	1366
537	1587	1363
538	1589	1359
539	1591	1355
540	1593	1351
541	1594	1347
542	1596	1343
543	1597	1339
544	1599	1335
545	1601	1331
546	1603	1328
547	1605	1324
548	1606	1320
549	1608	1316
550	1610	1312
551	1612	1308
552	1613	1304
553	1615	1300
554	1617	1296
555	1618	1292
556	1620	1288
557	1622	1284
558	1623	1281
559	1625	1277
560	1626	1273
561	1628	1269
562	1630	1265
563	1631	1261
564	1633	1257
565	1635	1254
566	1637	1250
567	1638	1246
568	1639	1242
569	1641	1238
570	1643	1234
571	1644	1230
572	1646	1226
573	1649	1223
574	1650	1220
575	1653	1216
576	1655	1213
577	1656	1209
578	1658	1206
579	1662	1203
580	1664	1200
581	1667	1197
582	1669	1193
583	1671	1190
584	1673	1187
585	1675	1183
586	1677	1180
587	1679	1177
588	1682	1174
589	1684	1170
590	1687	1167
591	1688	1164
592	1691	1160
593	1693	1157
594	1696	1154
595	1698	1151
596	1700	1147
597	1702	1144
598	1703	1140
599	1705	1137
600	1707	1133
601	1710	1130
602	1712	1127
603	1714	1124
604	1716	1120
605	1718	1117
606	1720	1113
607	1721	1110
608	1723	1106
609	1726	1103
610	1727	1100
611	1729	1096
612	1731	1092
613	1732	1089
614	1734	1085
615	1736	1082
616	1737	1078
617	1739	1075
618	1742	1072
619	1744	1069
620	1745	1065
621	1747	1062
622	1749	1058
623	1751	1055
624	1752	1051
625	1754	1048
626	1757	1045
627	1758	1041
628	1760	1038
629	1762	1034
630	1764	1032
631	1766	1028
632	1768	1025
633	1770	1021
634	1773	1019
635	1775	1015
636	1776	1012
637	1778	1009
638	1780	1006
639	1782	1002
640	1784	999
641	1786	996
642	1789	993
643	1790	989
644	1792	986
645	1794	983
646	1796	980
647	1798	976
648	1800	973
649	1802	970
650	1804	967
651	1806	964
652	1808	961
653	1810	957
654	1811	954
655	1813	951
656	1815	947
657	1817	944
658	1819	941
659	1821	938
660	1823	934
661	1824	931
662	1826	928
663	1827	924
664	1829	921
665	1830	918
666	1832	914
667	1834	911
668	1836	908
669	1838	905
670	1839	902
671	1841	898
672	1842	895
673	1844	891
674	1845	888
675	1847	885
676	1848	881
677	1850	879
678	1852	875
679	1854	872
680	1855	869
681	1857	865
682	1858	862
683	1859	859
684	1861	856
